Cf,N_features,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
1.879591837,30,500,0.715161918,0.055364884,19.14654215,65.39162658
1.127755102,26,1000,0.714166167,0.053876628,19.43675511,65.39294679
0.751836735,26,1000,0.714166167,0.053876628,19.48746753,65.39328051
0.939795918,26,1000,0.714166167,0.053876628,19.46576325,65.39328051
0.563877551,26,1000,0.714166167,0.053876628,19.50146734,65.39364495
0,26,1000,0.714166167,0.053876628,19.51141403,65.3937138
0.187959184,26,1000,0.714166167,0.053876628,19.5111202,65.3937138
0.375918367,26,1000,0.714166167,0.053876628,19.50870935,65.3937138
1.503673469,26,800,0.716215747,0.054591733,19.21173286,65.39460743
1.315714286,39,700,0.715018825,0.054054465,19.33704364,65.39523943
1.315714286,35,900,0.71564556,0.054065639,19.29536951,65.39647659
1.127755102,39,700,0.715018825,0.054054465,19.37711487,65.39680231
1.691632653,30,500,0.715161918,0.055364884,19.22010181,65.3988105
1.315714286,37,400,0.714594968,0.054018474,19.36757321,65.39914812
2.443469388,38,200,0.715051213,0.05987299,18.91197701,65.3992844
1.879591837,35,1000,0.719886392,0.055450023,18.82550803,65.39952065
1.503673469,40,500,0.718426532,0.054407345,19.05441117,65.3995912
0.751836735,39,200,0.714016395,0.053787232,19.49918377,65.39974401
0,39,200,0.714016395,0.053787232,19.52163766,65.39989261
0.187959184,39,200,0.714016395,0.053787232,19.52117582,65.39989261
0.375918367,39,200,0.714016395,0.053787232,19.5187702,65.39989261
0.563877551,39,200,0.714016395,0.053787232,19.51224823,65.39989261
2.631428571,39,500,0.712237647,0.059758876,19.01859576,65.40078668
2.06755102,37,1000,0.715689466,0.056403599,19.02692581,65.40106222
1.127755102,37,400,0.714594968,0.054018474,19.40783282,65.40156723
1.315714286,26,700,0.713627991,0.053714598,19.43352404,65.40199206
