N_features,Depth,Learning_rate,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
24,6,0.1,700,-1.83329396,-1.871067163,11.36597863,11.61148546
18,6,0.1,1000,-1.830264106,-1.871828197,11.35382413,11.61456331
22,6,0.1,800,-1.830994516,-1.874129311,11.35675423,11.62386974
39,5,0.1,1000,-1.843697487,-1.874185703,11.40771318,11.6240978
28,6,0.1,600,-1.842626808,-1.874657892,11.40341807,11.62600748
24,6,0.1,800,-1.815856554,-1.875254934,11.29602712,11.6284221
27,6,0.1,700,-1.840560479,-1.876177492,11.39512883,11.63215321
23,7,0.1,400,-1.8344642,-1.8765245,11.37067314,11.63355662
32,6,0.1,600,-1.83895344,-1.878681331,11.38868207,11.64227951
21,6,0.1,900,-1.832025388,-1.879125236,11.36088965,11.6440748
39,6,0.1,500,-1.842751029,-1.879693381,11.40391639,11.64637256
30,7,0.1,300,-1.839879277,-1.880162358,11.39239614,11.64826925
21,6,0.1,800,-1.838907154,-1.880461186,11.38849639,11.6494778
15,7,0.1,600,-1.82944286,-1.882656567,11.35052964,11.6583566
19,7,0.1,500,-1.839413915,-1.883955356,11.3905293,11.6636093
26,6,0.1,700,-1.835216553,-1.884662523,11.37369126,11.66646931
23,6,0.1,800,-1.842083661,-1.885244297,11.4012392,11.66882218
33,7,0.1,300,-1.849846489,-1.886567185,11.43238038,11.67417235
17,6,0.1,1000,-1.846136684,-1.887556445,11.41749821,11.67817323
12,7,0.1,800,-1.821562059,-1.887703845,11.3189152,11.67876936
35,6,0.1,500,-1.851817055,-1.888081275,11.44028546,11.6802958
30,6,0.1,600,-1.852247091,-1.888504159,11.44201058,11.68200607
37,6,0.1,500,-1.849375944,-1.889504263,11.43049275,11.68605081
11,7,0.1,900,-1.839039281,-1.890473535,11.38902643,11.68997084
34,6,0.1,500,-1.857367135,-1.89489534,11.46255004,11.70785399
40,5,0.1,1000,-1.851957927,-1.895360239,11.44085058,11.70973419
24,7,0.1,400,-1.847799227,-1.895479151,11.42416763,11.7102151
21,7,0.1,400,-1.859919116,-1.897282281,11.47278751,11.71750752
31,6,0.1,500,-1.869344321,-1.897996818,11.51059745,11.72039733
18,7,0.1,500,-1.855221831,-1.898260563,11.45394398,11.721464
29,7,0.1,300,-1.860991598,-1.898651172,11.47708985,11.72304374
17,7,0.1,500,-1.847664458,-1.898755029,11.423627,11.72346377
20,6,0.1,900,-1.8487873,-1.898990478,11.42813136,11.724416
28,7,0.1,300,-1.879558126,-1.899719682,11.55157092,11.72736513
39,5,0.1,900,-1.879808234,-1.902764536,11.55257425,11.73967946
38,6,0.1,500,-1.872077539,-1.903242656,11.52156196,11.74161312
20,6,0.1,800,-1.850850795,-1.903350257,11.43640923,11.74204829
31,6,0.1,600,-1.863558405,-1.90460447,11.4873868,11.74712072
31,7,0.1,300,-1.863144091,-1.904733403,11.48572474,11.74764217
13,7,0.1,700,-1.841576235,-1.905775316,11.39920362,11.75185598
38,5,0.1,1000,-1.872798808,-1.906939369,11.52445539,11.75656378
40,5,0.1,900,-1.88084196,-1.907132747,11.55672112,11.75734586
40,6,0.1,500,-1.871147251,-1.907560749,11.51783004,11.75907683
34,5,0.1,1000,-1.882650121,-1.907870806,11.5639747,11.7603308
22,7,0.1,400,-1.866918031,-1.908240361,11.5008642,11.76182539
36,5,0.1,1000,-1.883696904,-1.908302881,11.56817395,11.76207824
16,6,0.1,1000,-1.866014019,-1.90842958,11.49723768,11.76259065
33,5,0.1,1000,-1.878461965,-1.909652946,11.54717358,11.76753832
17,6,0.1,900,-1.864766507,-1.909654907,11.49223319,11.76754626
32,6,0.1,500,-1.871392956,-1.910949804,11.51881571,11.77278322
26,6,0.1,600,-1.874435637,-1.912498407,11.53102166,11.77904625
23,6,0.1,700,-1.867720458,-1.913947573,11.5040832,11.78490713
11,7,0.1,800,-1.861167991,-1.914989023,11.47779747,11.78911907
35,5,0.1,1000,-1.883501209,-1.915078347,11.5673889,11.78948033
21,6,0.1,700,-1.87652872,-1.915656942,11.53941822,11.79182035
20,7,0.1,400,-1.883788267,-1.916059846,11.56854046,11.79344981
37,5,0.1,1000,-1.881601906,-1.916178644,11.5597697,11.79393027
26,7,0.1,300,-1.88180171,-1.916374522,11.56057123,11.79472246
25,7,0.1,300,-1.885326511,-1.917445242,11.57471124,11.79905279
16,7,0.1,500,-1.878193182,-1.917583048,11.54609534,11.79961011
14,7,0.1,600,-1.869690128,-1.917584987,11.51198468,11.79961796
27,7,0.1,300,-1.882821817,-1.917911637,11.56466347,11.80093903
10,7,0.1,900,-1.850534347,-1.918164959,11.43513978,11.80196354
31,5,0.1,1000,-1.899445474,-1.918227948,11.63135056,11.80221829
36,6,0.1,500,-1.886756703,-1.918751836,11.58044857,11.80433706
40,7,0.1,200,-1.895621791,-1.91917193,11.61601156,11.80603605
37,6,0.1,400,-1.894084213,-1.919660872,11.60984345,11.80801348
29,6,0.1,500,-1.905770901,-1.920727197,11.6567255,11.81232603
22,6,0.1,700,-1.867513411,-1.920891544,11.50325261,11.8129907
24,6,0.1,600,-1.893722631,-1.923201921,11.60839293,11.82233458
32,5,0.1,1000,-1.902752641,-1.92594724,11.64461752,11.8334375
25,6,0.1,700,-1.882215081,-1.926061428,11.5622295,11.83389931
19,6,0.1,800,-1.888187944,-1.928220899,11.58619011,11.84263288
20,6,0.1,700,-1.890939027,-1.930018644,11.59722629,11.84990352
39,6,0.1,400,-1.911147882,-1.931838219,11.67829568,11.85726244
25,6,0.1,600,-1.900688244,-1.931885302,11.63633603,11.85745286
23,6,0.1,600,-1.913314038,-1.933426516,11.68698538,11.86368601
34,6,0.1,400,-1.923243276,-1.93351256,11.72681729,11.864034
11,7,0.1,700,-1.895828205,-1.936193923,11.6168396,11.87487826
37,7,0.1,200,-1.909384061,-1.937217257,11.67121997,11.87901694
29,5,0.1,1000,-1.905920372,-1.937368501,11.65732511,11.87962862
